1．（2017•安徽）12的相反数是（　　）A．12B．-12C．2 D．-2难度：0.81真题：71组卷：723
956．（2012•连云港一模）−12是（　　）A．2的相反数 B．12的相反数C．-2的相反数 D．−12的相反数难度：0.92真题：5组卷：7
957．（2012•晋江市质检）-1的相反数是（　　）A．-1 B．1 C．±1 D．0难度：0.88真题：5组卷：11
958．（2012•海淀区一模）23的相反数是（　　）A．−23B．23C．−32D．32难度：0.87真题：5组卷：5
959．（2012•重庆模拟）1的相反数是（　　）A．1 B．-1 C．2 D．±1难度：0.98真题：4组卷：16
960．（2012•温州二模）如果a与-7互为相反数，那么a是（　　）A．0 B．12C．7 D．1难度：0.95真题：4组卷：12
961．（2012•吴兴区校级模拟）-（-7）的相反数是（　　）A．-7 B．7 C．±7 D．17难度：0.92真题：4组卷：6
962．（2012•宁化县质检）-43的相反数是（　　）A．-34B．34C．43D．-43难度：0.91真题：4组卷：6
963．（2012•黔西南州模拟）−13的倒数的相反数为（　　）A．-3 B．3 C．13D．−13难度：0.90真题：3组卷：20
964．（2012•南昌模拟）一个数的相反数是-2，则这个数是（　　）A．−12B．12C．2 D．-2难度：0.86真题：3组卷：5
965．（2012•九龙坡区校级模拟）-7的相反数为（　　）A．-7 B．17C．7 D．-0.7难度：0.92真题：2组卷：7
966．（2012•大连二模）−74的相反数是（　　）A．−74B．−47C．47D．74难度：0.92真题：2组卷：5
967．（2012•河北模拟）(−94)与(−32)2是（　　）A．相等的数 B．互为倒数C．互为相反数 D．以上答案都不对难度：0.84真题：2组卷：8
968．（2012•福建模拟）4的相反数是（　　）A．4 B．-4 C．14D．±4难度：0.82真题：2组卷：12
969．（2012•历下区三模）小明竟然不知道（|-1|-1）的相反数是什么，他上课一定没有听课，你认为|-2|-2的相反数是（　　）A．4 B．-4 C．2 D．0难度：0.92真题：1组卷：83
970．（2012•淮安模拟）-3是下列哪个数的相反数（　　）A．3 B．13C．-3 D．-13难度：0.90真题：1组卷：4
971．（2012•洛阳一模）−12012的相反数是（　　）A．2012 B．12012C．−12012D．-2012难度：0.90真题：1组卷：4
972．（2012•清浦区模拟）下列各数中，相反数等于4的是（　　）A．-4 B．4 C．−14D．14难度：0.86真题：1组卷：4
973．（2012•南京模拟）下列关系式中，满足a、b互为相反数的是（　　）A．a-b=0 B．a+b=0 C．ab=1 D．ab=1难度：0.83真题：1组卷：30
974．（2012•沭阳县校级模拟）若一个数的相反数是65，则这个数是（　　）A．65B．56C．−65D．−56难度：0.82真题：1组卷：4
975．（2012•和平区校级模拟）-（-3）表示（　　）A．-3的相反数 B．−13 的相反数C．3的倒数 D．−13的绝对值难度：0.82真题：1组卷：8
976．（2012•翔安区质检）化简“-（−12）”等于（　　）A．12B．-12C．2 D．-2难度：0.81真题：1组卷：4
977．（2012•长春模拟）-6的绝对值的相反数是（　　）A．-6 B．6 C．16D．−16难度：0.80真题：1组卷：3
978．（2012•济南校级模拟）-7的倒数的相反数是（　　）A．17B．7 C．−17D．7-7难度：0.80真题：1组卷：3
979．（2012•房山区一模）下列每两个数中，互为相反数的是（　　）A．3和13B．-3和13C．-3和0 D．-3和3难度：0.80真题：1组卷：5
980．（2012•鞍山模拟）35的相反数是（　　）A．-35B．-53C．53D．925难度：0.80真题：1组卷：4
981．（2012•大连模拟）计算-（-a）的结果为（　　）A．-1 B．0 C．a D．-a难度：0.78真题：1组卷：10
982．（2012•玉田县二模）若m、n互为倒数，则mn的相反数为（　　）A．0 B．1 C．-1 D．2难度：0.75真题：1组卷：7
983．（2012•天台县一模）-15的相反数是（　　）A．-5 B．15C．-15D．5难度：0.60真题：1组卷：1
984．（2012秋•建平县校级期末）-3的相反数是（　　）A．-3 B．-13C．3 D．±3难度：0.82真题：10组卷：22
985．（2012秋•顺义区期末）−25的相反数是（　　）A．−25B．52C．25D．−52难度：0.85真题：5组卷：4
986．（2012秋•张家港市期末）-0.5的相反数是（　　）A．2 B．-2 C．-12D．12难度：0.92真题：4组卷：4
987．（2012秋•东台市期末）-0.5的相反数是（　　）A．0.5 B．±0.5 C．-0.5 D．2难度：0.92真题：4组卷：10
988．（2012秋•静宁县校级期末）-2的相反数是（　　）A．−12B．0 C．2 D．1难度：0.88真题：4组卷：11
989．（2012秋•磐石市校级期末）下列说法正确的是（　　）A．-5是15的相反数 B．−23与32互为相反数C．-4是4的相反数 D．−12是2的相反数难度：0.80真题：4组卷：5
990．（2012秋•鲅鱼圈区期末）下列各组数中，互为相反数的是（　　）A．-（-2）与2 B．（-2）2与4 C．|-2|与2 D．-22与4难度：0.81真题：3组卷：10
991．（2012秋•马鞍山期末）-2013的相反数是（　　）A．-12013B．12013C．-2013 D．2013难度：0.80真题：3组卷：4
992．（2012秋•大石桥市期末）若有理数a与6互为相反数，则a的值是（　　）A．6 B．-6 C．16D．-16难度：0.92真题：2组卷：4
993．（2012秋•晋江市校级期末）若一个数的相反数是负数，则这个数一定是（　　）A．正数 B．非正数 C．负数 D．非负数难度：0.83真题：2组卷：12
994．（2012秋•徐州期末）若a+b=0，则a、b两个数（　　）A．都是0 B．至少有一个是0C．异号 D．互为相反数难度：0.60真题：2组卷：7
995．（2012秋•霸州市校级期末）下列各对数中，互为相反数的是（　　）A．-32和（-3）2 B．-32×2和（-3×2）2C．-23和（-2）3 D．-23×3和（-2×3）3难度：0.92真题：1组卷：3
996．（2012秋•崇安区校级期末）相反数为-525的是（　　）A．525B．-552C．527D．-527难度：0.82真题：1组卷：4
997．（2012秋•自贡期末）下列各数中互为相反数的是（　　）A．-|-2|与-2 B．-32与（-3）2 C．-23与（-2）3 D．|-2|与-（-2）难度：0.80真题：1组卷：4
998．（2012秋•松桃县期末）如果5是a-2的相反数，那么a的值是（　　）A．-5 B．7 C．-3 D．3难度：0.75真题：1组卷：8
999．（2012秋•罗平县期末）-12的相反数是（　　）A．112B．112C．12 D．-21难度：0.75真题：1组卷：3
1000．（2012秋•市南区期末）下列各组数中，不是互为相反数的是（　　）A．-（-2）和-2 B．+（-2）和-（-2） C．-（-1）和|-1| D．-（-1）和-|-1|难度：0.71真题：1组卷：6
